time,classification,threat,confidence,alertLevel,path,durationSec,avgMoveTime,nodeCount,pirCount,vibCount,minDistance
00:00:42,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,8.78
00:00:02,VEHICLE,HIGH,37,2,SOUTH,0.0,0.0,1,2,3,16.22
00:00:37,HUMAN,LOW,40,1,SOUTH,0.0,0.0,1,1,0,16.22
00:00:48,VEHICLE,HIGH,44,1,SOUTH,0.0,0.0,1,1,0,10.8
00:01:11,VEHICLE,HIGH,51,2,SOUTH,0.0,0.0,1,1,3,11.82
00:01:27,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,10.12
00:01:48,VEHICLE,HIGH,44,1,SOUTH,0.0,0.0,1,1,0,10.8
00:02:17,VEHICLE,HIGH,45,2,SOUTH,0.0,0.0,1,2,3,7.46
00:02:30,ANIMAL,MEDIUM,35,2,SOUTH,0.0,0.0,1,2,0,9.11
00:02:45,VEHICLE,HIGH,44,1,SOUTH,0.0,0.0,1,1,0,6.17
00:02:56,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,2.64
00:03:13,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.88
00:03:33,HUMAN,LOW,40,1,SOUTH,0.0,0.0,1,1,0,16.22
00:03:44,VEHICLE,HIGH,45,2,SOUTH,0.0,0.0,1,2,3,10.82
00:03:59,VEHICLE,HIGH,46,1,SOUTH,0.0,0.0,1,1,3,16.88
00:00:12,VEHICLE,HIGH,40,2,SOUTH -> WEST,3.1,3.1,2,2,3,12.14
00:00:54,HUMAN,LOW,40,1,WEST,0.0,0.0,1,1,0,18.36
00:01:14,HUMAN,HIGH,57,3,SOUTH,0.0,0.0,2,3,0,18.36
00:01:26,HUMAN,HIGH,58,3,SOUTH,0.0,0.0,2,2,0,18.36
00:01:37,HUMAN,HIGH,57,3,SOUTH,0.0,0.0,2,3,0,18.36
00:01:55,HUMAN,HIGH,58,3,SOUTH,0.0,0.0,2,2,0,18.36
00:02:06,HUMAN,HIGH,57,3,SOUTH,0.0,0.0,2,3,0,18.36
00:02:19,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,6.44
00:02:48,HUMAN,HIGH,53,3,SOUTH -> WEST -> SOUTH,12.53,6.27,2,6,0,6.48
00:00:59,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.22
00:01:14,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.21
00:01:33,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.22
00:01:45,HUMAN,LOW,45,1,SOUTH,0.0,0.0,1,3,0,16.22
00:01:58,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.53
00:02:13,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,39.89
00:02:25,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,39.89
00:02:37,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,39.91
00:02:54,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,15.54
00:03:06,HUMAN,LOW,45,1,SOUTH,0.0,0.0,1,3,0,18.05
00:03:53,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.88
00:04:05,HUMAN,LOW,40,1,SOUTH,0.0,0.0,1,1,0,19.33
00:04:17,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,39.91
00:04:28,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.0
00:04:40,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,39.89
00:04:51,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,40.37
00:05:02,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,41.06
